"omid","openalex_id","type"
"meta:br/0620890203","W4240532345 W2009482400","journal article"
"meta:br/060100","W4234406162 W4211128081","reference book"
"meta:br/06084","W4300925974 W4300708667","reference book"
"meta:br/060104","W4242362061 W2407964371","reference book"
"meta:br/06046","W4320079736 S4210220879 W4297406376","series"
"meta:br/060155","W588172449 S4210189632","book series"
"meta:br/060113","W1501722236 W4299302255","reference book"
"meta:br/060133","W2810593524 W4249245441","reference book"
"meta:br/060138","W4300934111 W4298838138","reference book"
"meta:br/060120","W2486256871 W4300926190","reference book"
"meta:br/06097","W4241242198 W1499893176","reference book"
"meta:br/060115","W4300591202 W1503485421","reference book"
"meta:br/06098","W4301228929 W2490024705","reference book"
"meta:br/06077","S4210207830 W4213145931","book series"
"meta:br/06066","W4300264104 W576642463","reference book"
"meta:br/060134","W2480010352 W1527418249","reference book"
"meta:br/060142","W2616203426 W4321383216","reference book"
"meta:br/060119","W3094104043 W4316463929","reference book"
"meta:br/06089","W4250362363 W3005200450","reference book"
"meta:br/06095","W4298154913 W287845271","reference book"
"meta:br/060130","W1494484061 W2500610474","reference book"
"meta:br/060146","W4302410353 W4300733582","reference book"
"meta:br/06094","W1525201153 W4301824706","reference book"
"meta:br/06092","W2489880049 W4235253842","reference book"
"meta:br/060101","W4254878166 W4234565634","reference book"
"meta:br/06065","W2550431381 W4243880759","reference book"
"meta:br/060150","W4252812760 W4206560293","reference book"
"meta:br/060135","W3116204541 W2504600547","reference book"
"meta:br/06093","W4238759327 W4246385247","reference book"
"meta:br/060129","W1513027169 W4300547337","reference book"
"meta:br/06099","W4300805012 W1694074031","reference book"
"meta:br/06096","W4247080883 W3048074262","reference book"
"meta:br/060127","W4243579626 W1488302539","reference book"
"meta:br/06088","W4232314888 W4239568821","standard"
"meta:br/06064","W2888978633 W2551149554","reference book"
"meta:br/060105","W4252759912 W2087528562","reference book"
"meta:br/060112","W4234886166 W2122251503","reference book"
"meta:br/060132","W4241319698 W1596635564","reference book"
"meta:br/06081","W4253218940 W2556078033","reference book"
"meta:br/060126","W4252072164 W1546641059","reference book"
"meta:br/060139","W2480485315 W1589353635","reference book"
"meta:br/06048","W4250919763 W4237033326","reference book"
"meta:br/060131","W1561774577 W4238439715","reference book"
"meta:br/060110","W4249727796 W4250454581 W4255672004 W4253600227","standard"
"meta:br/06091","W4249300866 W4252558368","standard"
"meta:br/060141","W4301140937 W1483689388","reference book"
"meta:br/060124","W4293262817 W4298879810","reference book"
"meta:br/060107","W4231122565 W2165859545","reference book"
"meta:br/060102","W1602487878 W4229589574","reference book"
"meta:br/060121","W2505107005 W2490866390","reference book"
"meta:br/06067","W2594296515 W4250826515","reference book"
"meta:br/060103","W4212922081 W4234110001","standard"
"meta:br/06082","W2889504338 W2551658000","reference book"
"meta:br/060149","W4298255439 W2037693308","reference book"
"meta:br/06083","W4235201711 W2550489455","reference book"
"meta:br/060123","W2491483139 W4232930882","reference book"
"meta:br/060106","W4238190816 S4210203305 W4244563561","book series"
"meta:br/060136","W3149829789 W4301252037","reference book"
"meta:br/060114","W2493708524 W1496252597","reference book"
"meta:br/060137","W4235342413 W1542278064","reference book"
"meta:br/06087","W4231748758 W4246002921","standard"
"meta:br/060145","W1604564259 W4231089696","reference book"
"meta:br/060152","W605103095 W4299986842","reference book"
"meta:br/06090","W4229583085 W4246941563 S2739193000","journal"
"meta:br/060143","W4301215411 W4300658193","reference book"
"meta:br/060109","W4210307238 W4256489157","standard"
"meta:br/060122","W4210953365 W621008802","reference book"
"meta:br/060111","W4254095038 W4234438757 W4252909608","reference book"
"meta:br/060117","W4298178253 W4292912481","reference book"
"meta:br/060148","W1516997725 W4231651325","reference book"
"meta:br/060118","W1530360892 W4292896439","reference book"
"meta:br/060140","W4252999971 W1550338291","reference book"
"meta:br/060144","W4302376926 W2500937163","reference book"
"meta:br/060128","W2486088373 W1509560233","reference book"
"meta:br/060125","W4300447161 W1586570925","reference book"
"meta:br/060108","W4250532874 W4248546512","reference book"
"meta:br/060147","W1544572912 W4302595763","reference book"
"meta:br/060151","W4232037413 W4234477965","reference book"
"meta:br/060116","W4300456854 W1500855451","reference book"
"meta:br/0620900226","S183491363 S4210168998","journal"
"meta:br/0620905205","S4210229603 S187798289","journal"
"meta:br/0620907946","W4243301498 S2764760260","journal"
"meta:br/0620917842","W2030648626 W4243408618","journal article"
"meta:br/0620924833","W4246096481 W1523305228","journal article"
"meta:br/0620925632","W4229860050 W1900797454","journal article"
"meta:br/0620926555","W2021051947 W4234766505","journal article"
"meta:br/0620922349","W4236159495 W2054815124","journal article"
"meta:br/0620952891","W4285774562 W4239304846","journal article"
"meta:br/0620952892","W4234221550 W4285772462","journal article"
"meta:br/0620955904","W4241116008 S4210222611 W4298335089","journal"
"meta:br/0620956745","W127709661 W1518342345","journal article"
"meta:br/0620956677","W3187997017 W2419103074","journal article"
"meta:br/0620956775","W24094775 W3213315144","journal article"
"meta:br/0620956726","W3190831361 W184469076","journal article"
"meta:br/0620956682","W1896355067 W3197089637","journal article"
"meta:br/0620956969","W101339059 W3188992256","journal article"
"meta:br/0620956939","W2913017103 W3168346315","journal article"
"meta:br/0620956836","W1512900407 W298812274","journal article"
"meta:br/0620956646","W2158024785 W82049203","journal article"
"meta:br/0620956896","W67235634 W1567622948","journal article"
"meta:br/0620956666","W1544799480 W3193252412","journal article"
"meta:br/0620956886","W289853117 W2914540557","journal article"
"meta:br/0620956663","W3183276423 W1606910196","journal article"
"meta:br/0620956550","S4210207445 S4210236675","journal"
"meta:br/0620956661","W3195206986 W35932479","journal article"
"meta:br/0620956679","W108275360 W3190831350","journal article"
"meta:br/0620956891","W1495101353 W166769106","journal article"
"meta:br/0620956911","W188561402 W3199719999","journal article"
"meta:br/0620956890","W3193928790 W1435446765","journal article"
"meta:br/0620956653","W3196707760 W1508386022","journal article"
"meta:br/0620956637","W3165837406 W1571025692","journal article"
"meta:br/0620956691","W3187086248 W1496916586","journal article"
"meta:br/0620956854","W1420899430 W245723566","journal article"
