"omid","openalex_id","type"
"meta:br/060100","W4234406162 W4211128081","reference book"
"meta:br/06084","W4300708667 W4300925974","reference book"
"meta:br/060104","W4242362061 W2407964371","reference book"
"meta:br/060113","W1501722236 W4299302255","reference book"
"meta:br/060133","W2810593524 W4249245441","reference book"
"meta:br/060138","W4300934111 W4298838138","reference book"
"meta:br/060120","W4300926190 W2486256871","reference book"
"meta:br/06097","W1499893176 W4241242198","reference book"
"meta:br/060115","W1503485421 W4300591202","reference book"
"meta:br/06098","W2490024705 W4301228929","reference book"
"meta:br/06066","W576642463 W4300264104","reference book"
"meta:br/060134","W2480010352 W1527418249","reference book"
"meta:br/060142","W4321383216 W2616203426","reference book"
"meta:br/060119","W4316463929 W3094104043","reference book"
"meta:br/06089","W4250362363 W3005200450","reference book"
"meta:br/06095","W287845271 W4298154913","reference book"
"meta:br/060130","W2500610474 W1494484061","reference book"
"meta:br/060146","W4302410353 W4300733582","reference book"
"meta:br/06094","W4301824706 W1525201153","reference book"
"meta:br/06092","W4235253842 W2489880049","reference book"
"meta:br/060101","W4234565634 W4254878166","reference book"
"meta:br/06065","W2550431381 W4243880759","reference book"
"meta:br/060150","W4252812760 W4206560293","reference book"
"meta:br/060135","W2504600547 W3116204541","reference book"
"meta:br/06093","W4246385247 W4238759327","reference book"
"meta:br/060129","W4300547337 W1513027169","reference book"
"meta:br/06099","W4300805012 W1694074031","reference book"
"meta:br/06096","W4247080883 W3048074262","reference book"
"meta:br/060127","W1488302539 W4243579626","reference book"
"meta:br/06088","W4239568821 W4232314888","standard"
"meta:br/06064","W2551149554 W2888978633","reference book"
"meta:br/060105","W4252759912 W2087528562","reference book"
"meta:br/060112","W2122251503 W4234886166","reference book"
"meta:br/060132","W4241319698 W1596635564","reference book"
"meta:br/06081","W4253218940 W2556078033","reference book"
"meta:br/060126","W4252072164 W1546641059","reference book"
"meta:br/060139","W2480485315 W1589353635","reference book"
"meta:br/06048","W4250919763 W4237033326","reference book"
"meta:br/060131","W4238439715 W1561774577","reference book"
"meta:br/060110","W4253600227 W4255672004 W4250454581 W4249727796","standard"
"meta:br/06091","W4252558368 W4249300866","standard"
"meta:br/060141","W1483689388 W4301140937","reference book"
"meta:br/060124","W4298879810 W4293262817","reference book"
"meta:br/060107","W4231122565 W2165859545","reference book"
"meta:br/060102","W1602487878 W4229589574","reference book"
"meta:br/060121","W2505107005 W2490866390","reference book"
"meta:br/06067","W4250826515 W2594296515","reference book"
"meta:br/060103","W4234110001 W4212922081","standard"
"meta:br/06082","W2889504338 W2551658000","reference book"
"meta:br/060149","W4298255439 W2037693308","reference book"
"meta:br/06083","W2550489455 W4235201711","reference book"
"meta:br/060123","W2491483139 W4232930882","reference book"
"meta:br/060136","W4301252037 W3149829789","reference book"
"meta:br/060114","W2493708524 W1496252597","reference book"
"meta:br/060137","W4235342413 W1542278064","reference book"
"meta:br/06087","W4231748758 W4246002921","standard"
"meta:br/060145","W4231089696 W1604564259","reference book"
"meta:br/060152","W4299986842 W605103095","reference book"
"meta:br/060143","W4300658193 W4301215411","reference book"
"meta:br/060109","W4210307238 W4256489157","standard"
"meta:br/060122","W621008802 W4210953365","reference book"
"meta:br/060111","W4252909608 W4254095038 W4234438757","reference book"
"meta:br/060117","W4298178253 W4292912481","reference book"
"meta:br/060148","W1516997725 W4231651325","reference book"
"meta:br/060118","W1530360892 W4292896439","reference book"
"meta:br/060140","W1550338291 W4252999971","reference book"
"meta:br/060144","W4302376926 W2500937163","reference book"
"meta:br/060128","W1509560233 W2486088373","reference book"
"meta:br/060125","W4300447161 W1586570925","reference book"
"meta:br/060108","W4250532874 W4248546512","reference book"
"meta:br/060147","W1544572912 W4302595763","reference book"
"meta:br/060151","W4234477965 W4232037413","reference book"
"meta:br/060116","W1500855451 W4300456854","reference book"
"meta:br/0620890203","W2009482400 W4240532345","journal article"
"meta:br/0620900226","S4210168998 S183491363","journal"
"meta:br/0620905205","S187798289 S4210229603","journal"
"meta:br/0620917842","W2030648626 W4243408618","journal article"
"meta:br/0620922349","W2054815124 W4236159495","journal article"
"meta:br/0620924833","W1523305228 W4246096481","journal article"
"meta:br/0620925632","W1900797454 W4229860050","journal article"
"meta:br/0620926555","W2021051947 W4234766505","journal article"
"meta:br/0620952891","W4285774562 W4239304846","journal article"
"meta:br/0620952892","W4234221550 W4285772462","journal article"
"meta:br/0620956745","W127709661 W1518342345","journal article"
"meta:br/0620956677","W3187997017 W2419103074","journal article"
"meta:br/0620956775","W24094775 W3213315144","journal article"
"meta:br/0620956726","W3190831361 W184469076","journal article"
"meta:br/0620956682","W3197089637 W1896355067","journal article"
"meta:br/0620956969","W101339059 W3188992256","journal article"
"meta:br/0620956939","W2913017103 W3168346315","journal article"
"meta:br/0620956836","W298812274 W1512900407","journal article"
"meta:br/0620956646","W2158024785 W82049203","journal article"
"meta:br/0620956896","W1567622948 W67235634","journal article"
"meta:br/0620956666","W1544799480 W3193252412","journal article"
"meta:br/0620956886","W289853117 W2914540557","journal article"
"meta:br/0620956663","W1606910196 W3183276423","journal article"
"meta:br/0620956550","S4210207445 S4210236675","journal"
"meta:br/0620956661","W35932479 W3195206986","journal article"
"meta:br/0620956679","W108275360 W3190831350","journal article"
"meta:br/0620956891","W1495101353 W166769106","journal article"
"meta:br/0620956911","W3199719999 W188561402","journal article"
"meta:br/0620956890","W3193928790 W1435446765","journal article"
"meta:br/0620956653","W3196707760 W1508386022","journal article"
"meta:br/0620956637","W3165837406 W1571025692","journal article"
"meta:br/0620956691","W3187086248 W1496916586","journal article"
"meta:br/0620956854","W1420899430 W245723566","journal article"
"meta:br/0620957156","W3215849838 W2410349559","journal article"
"meta:br/0620957336","W2911605920 W2410451125","journal article"
"meta:br/0620957050","W1603925757 W185429061","journal article"
"meta:br/0620957091","W3168584405 W1535809957","journal article"
"meta:br/0620957195","W3195315384 W34229989","journal article"
"meta:br/0620957140","W3172299628 W83329894","journal article"
"meta:br/0620957258","W4301520130 W2394864932","journal article"
"meta:br/0620957147","W2468045479 W3205239647","journal article"
"meta:br/0620957174","W2404868611 W3188226340","journal article"
"meta:br/0620973979","S4210185912 S4210197452","journal"
"meta:br/0620973991","S181831623 S4210213024 S4210208720","journal"
"meta:br/0620974059","S4210217534 S4210230649","journal"
"meta:br/0620978786","S4210185933 S2738008474","journal"
"meta:br/062102793","S4210224251 S955628534 S4210205107","journal"
"meta:br/0621099771","W4249323591 W4300924984","journal article"
"meta:br/062101016142","S4210181445 S28389577","journal"
"meta:br/062101023982","W4249054053 W2023329789","journal article"
"meta:br/06103199744","S205923938 S4210174629","journal"
"meta:br/06103199759","S4210177933 S19164466","journal"
"meta:br/062101026378","W4239495300 W2112208522","journal article"
"meta:br/062101026461","W2156531190 W4233842212","journal article"
"meta:br/062101026007","W2105265028 W4233779494","journal article"
"meta:br/062101045486","S2911379390 S4210205910","journal"
"meta:br/062101061210","W2070035845 W2999097796","journal article"
"meta:br/062101061321","W2011538977 W2594160770","journal article"
"meta:br/062101061286","W2017650032 W2947297033","journal article"
"meta:br/06103201968","W3183336967 W1539176590","journal article"
"meta:br/06103201983","W3187828601 W2395939201","journal article"
"meta:br/06103201925","W99549743 W2408812309","journal article"
"meta:br/06103201932","W2682796 W3162269230","journal article"
"meta:br/06103201940","W3187315298 W2396974414","journal article"
"meta:br/06103201957","W56721938 W1409138532","journal article"
"meta:br/06103201965","W2412685911 W3192424032","journal article"
"meta:br/06103201958","W2408765231 W87676015","journal article"
"meta:br/06103201927","W987918600 W2422375048","journal article"
"meta:br/06103201928","W3208522534 W94123346","journal article"
"meta:br/06103201994","W2395382016 W3190983880","journal article"
"meta:br/06103201956","W117202835 W180753333","journal article"
"meta:br/06103201987","W2415559443 W3190484401","journal article"
"meta:br/06103201991","W2417260214 W2155544780","journal article"
"meta:br/06103201915","W2463200511 W66853985","journal article"
"meta:br/06103201944","W2411596665 W126083522","journal article"
"meta:br/06103201975","W156053683 W1966765326","journal article"
"meta:br/06103201935","W2172868365 W59199888","journal article"
"meta:br/06103201946","W2394833462 W3190718029","journal article"
"meta:br/06103201943","W2418045573 W103319183","journal article"
"meta:br/06103201917","W80350378 W129271400","journal article"
"meta:br/06103201954","W2415176400 W104148548","journal article"
"meta:br/06103201921","W72173422 W160440558","journal article"
"meta:br/06103201914","W109395939 W250784522","journal article"
"meta:br/06103201933","W89137729 W2414857461","journal article"
"meta:br/06103201939","W98527051 W1673466","journal article"
"meta:br/06103201976","W58666125 W3190784508","journal article"
"meta:br/06103201982","W2192528520 W2401760012","journal article"
"meta:br/06103201959","W2414629336 W3187107411","journal article"
"meta:br/06103201967","W3192634330 W2474944501","journal article"
"meta:br/06103201942","W185144875 W106367634","journal article"
"meta:br/06103201911","W199498309 W6382362","journal article"
"meta:br/06103202047","W81670397 W122420328","journal article"
"meta:br/06103202178","W1506244879 W1465800916","journal article"
"meta:br/06103202077","W1481723799 W1501901607","journal article"
"meta:br/06103202253","W3318463 W3191039977","journal article"
"meta:br/06103202120","W3191250950 W158435842","journal article"
"meta:br/06103202131","W1531518951 W2111184404","journal article"
"meta:br/06103202040","W2472897132 W1567962506","journal article"
"meta:br/06103202063","W1536286283 W117923848","journal article"
"meta:br/06103202061","W1593188826 W4298425234","journal article"
"meta:br/06103202009","W2410592425 W3191609165","journal article"
"meta:br/06103202083","W238707366 W2383661460","journal article"
"meta:br/06103202244","W47941278 W2143935112","journal article"
"meta:br/06103202359","W3191385866 W3160527802","journal article"
"meta:br/06103202135","W173527633 W1480833653","journal article"
"meta:br/06103202171","W2026034368 W1572344986","journal article"
"meta:br/06103202138","W3191481549 W156286037","journal article"
"meta:br/06103202110","W2142291419 W57348785","journal article"
"meta:br/06103202271","W163127585 W1519634240","journal article"
"meta:br/06103202088","W1558594622 W1503033999","journal article"
