,omid,openalex_id,type
8040,meta:br/06701335003,W100547961 W1437153848,journal article
13248,meta:br/061502471430,W100790057 W4297989928,book chapter
2526,meta:br/062402149892,W100848711 W4297820287,journal article
5255,meta:br/06303308904,W100921386 W1490729042,journal article
12568,meta:br/061403317703,W10092832 W3190027729,journal article
5527,meta:br/0631041982,W1009923344 W1972332006,journal article
1986,meta:br/062302643591,W10106842 W3202367105,journal article
12286,meta:br/061402553380,W101204908 W3188182128,journal article
90,meta:br/0620956969,W101339059 W3188992256,journal article
4033,meta:br/062602796259,W101455445 W1561035623,journal article
8025,meta:br/06701334466,W1015384749 W2002589884,journal article
14555,meta:br/06170441377,W101580644 W1490372637,journal article
12281,meta:br/061402553999,W101632063 W1766714870,journal article
4056,meta:br/062602796120,W102426334 W2414646166,journal article
17442,meta:br/06203304122,W1025412030 W3165662622,journal article
15186,meta:br/06170832376,W1025820353 W3189945679,journal article
2077,meta:br/062303437141,W102622633 W4295137397,journal article
8962,meta:br/06801765006,W102730185 W3195980433,journal article
13207,meta:br/061502176764,W102814432 W2526840851,journal article
5213,meta:br/06303308999,W102844407 W3188787835,journal article
16312,meta:br/061901689840,W102863698 W1497331256,journal article
4090,meta:br/061101428394,W10316846 W3142200492,journal article
143,meta:br/06103201943,W103319183 W2418045573,journal article
2971,meta:br/0610968960,W103322799 W3126416101,journal article
15201,meta:br/06170833009,W10335263 W151520478,journal article
15737,meta:br/061802197954,W103382903 W3152276332,journal article
13320,meta:br/061503341592,W103443226 W3192898413,journal article
6827,meta:br/06503807743,W1034474538 W4230602167,book chapter
9011,meta:br/06801827545,W10357761 W4301901214,journal article
2122,meta:br/06230442882,W1036074941 W4251354966,journal article
15522,meta:br/061801688249,W103643423 W157403460,journal article
7612,meta:br/06602860578,W103676144 W265246800,journal article
17418,meta:br/06203304004,W1039101073 W3196992976,journal article
16990,meta:br/06201769352,W103950366 W3206188058,journal article
3465,meta:br/06250358850,W104077614 W226076320,journal article
8400,meta:br/06703465310,W104093294 W3184886061,journal article
7586,meta:br/06602859862,W1041446112 W3183437198,journal article
15150,meta:br/06170832764,W104190364 W1517248209,journal article
9685,meta:br/06803629181,W104404459 W88099035,book chapter
1172,meta:br/062202366560,W104805791 W292383079,journal article
15513,meta:br/061801688492,W105303045 W2416259968,journal article
11806,meta:br/06130949139,W105435349 W3188722017,journal article
14638,meta:br/06170441350,W105514675 W1555595158,journal article
14265,meta:br/061701117043,W105716555 W2082498417,journal article
8926,meta:br/06801764796,W105895453 W2345012339,journal article
11802,meta:br/06130949128,W105995822 W1245662298,journal article
1239,meta:br/062203088285,W106004681 W2065521096,journal article
3014,meta:br/0610969297,W106019833 W3160455372,journal article
154,meta:br/06103201942,W106367634 W185144875,journal article
5361,meta:br/06303732574,W106586595 W1533528499,journal article
5215,meta:br/06303308819,W106599512 W3189211427,journal article
7661,meta:br/06602860522,W106996401 W2987021467,journal article
9887,meta:br/06901782580,W1070200 W1908517501,journal article
12435,meta:br/061402554042,W107175231 W139197045,journal article
1095,meta:br/062202366672,W107538507 W3197628631,journal article
16303,meta:br/061901689852,W107599953 W1503417364,journal article
1162,meta:br/062202366644,W108001267 W3211369099,journal article
99,meta:br/0620956679,W108275360 W3190831350,journal article
16003,meta:br/06180518954,W108384505 W2110248973,journal article
2950,meta:br/062501218039,W10839283 W3191164435,journal article
176,meta:br/06103202001,W108460739 W1536124624,journal article
12365,meta:br/061402553678,W10853057 W189759315,journal article
147,meta:br/06103201914,W109395939 W250784522,journal article
9923,meta:br/06901782764,W10961318 W3190582998,journal article
220,meta:br/06103202108,W109793110 W3191258909,journal article
3107,meta:br/0610969237,W109878879 W3213574387,journal article
5851,meta:br/06402219683,W110317136 W2594210003,journal article
16927,meta:br/06201769459,W110357920 W1042669918,journal article
14123,meta:br/06160444041,W110665168 W135931521,journal article
5922,meta:br/06402495420,W111009198 W2094284580,journal article
5298,meta:br/06303513977,W111176286 W4234004065,book chapter
2319,meta:br/062401201335,W111178997 W3183534994,journal article
7730,meta:br/06602860044,W111455924 W2417992170,journal article
8372,meta:br/06703465982,W111502342 W3189689449,journal article
11783,meta:br/06130948377,W111625132 W1484159368,journal article
12302,meta:br/061402553739,W111702816 W1983360016,journal article
1138,meta:br/062202366613,W111844448 W1413049248,journal article
7498,meta:br/06602551277,W111981235 W2727173160,journal article
2978,meta:br/0610969911,W112016133 W1532744886,journal article
9790,meta:br/06901011649,W1121172744 W2047954469,journal article
1080,meta:br/062202366646,W11225922 W3189626765,journal article
12185,meta:br/061402375967,W112326009 W2053974356,journal article
17431,meta:br/06203304508,W112670676 W3215104787,journal article
14031,meta:br/06160443948,W1127218128 W2410279995,journal article
4059,meta:br/062602796224,W112765329 W2413495325,journal article
1244,meta:br/062203092891,W112908822 W4252866079,book chapter
15181,meta:br/06170832365,W112976508 W3212211273,journal article
17461,meta:br/06203304312,W113475186 W2431815887,journal article
12292,meta:br/061402553870,W114292494 W3189573571,journal article
10002,meta:br/06901783295,W114329259 W1231290222,journal article
2125,meta:br/06230442037,W114490879 W2252798710,journal article
3135,meta:br/0610969265,W114788530 W3196014534,journal article
10867,meta:br/061203151216,W114956825 W4239824464,book chapter
2965,meta:br/062501218201,W115209373 W2405381561,journal article
15157,meta:br/06170832419,W115213456 W2462348178,journal article
5292,meta:br/06303309640,W115419941 W3188406072,journal article
10296,meta:br/06903362055,W115673870 W4243117691,journal article
17401,meta:br/06203304504,W115980297 W2438726941,journal article
17439,meta:br/06203304150,W116072303 W3135211320,journal article
7722,meta:br/06602860777,W116288601 W1893610461,journal article
12866,meta:br/061501826933,W116483475 W1568959389,journal article
5227,meta:br/06303308828,W116886709 W1510285726,journal article
13670,meta:br/061601832132,W116986646 W2598253734,journal article
11223,meta:br/061301836221,W1169945841 W4251464498,book
4035,meta:br/062602796106,W117478011 W2461156125,journal article
1310,meta:br/06220431107,W117493630 W2261779476,journal article
2933,meta:br/062501217764,W117566655 W3176319627,journal article
3090,meta:br/0610969805,W117619667 W150886554,journal article
3099,meta:br/0610969841,W117844053 W158938500,journal article
163,meta:br/06103202063,W117923848 W1536286283,journal article
12769,meta:br/061501231595,W11804993 W2728722627,journal article
17510,meta:br/0620360940,W118131751 W3190560214,journal article
9574,meta:br/0611044812,W1182565561 W4233553548,book
2045,meta:br/061041324,W1182673357 W4239308773,book
6270,meta:br/064045479,W1184430684 W2991492265,book
15989,meta:br/0618045660,W1187876716 W4298401189,book
12377,meta:br/061402553614,W119297052 W3188421221,journal article
7987,meta:br/06701334562,W119648059 W2210578782,journal article
5271,meta:br/06303309185,W119716713 W3190689946,journal article
13710,meta:br/061602041661,W119913048 W2090530821,journal article
12414,meta:br/061402553577,W120017307 W3158313013,journal article
2693,meta:br/06240408980,W120540172 W4289820270,journal article
2681,meta:br/062403439849,W120637839 W4296897926,journal article
15220,meta:br/06170833109,W1206486004 W3145570024,journal article
7583,meta:br/06602859944,W1207991486 W2412101593,journal article
1619,meta:br/062301156466,W1208097759 W202709552,journal article
8030,meta:br/06701334498,W120913176 W1917310654,journal article
7628,meta:br/06602860616,W121011298 W1515557263,journal article
11015,meta:br/06120943707,W1210223653 W3195036571,journal article
12878,meta:br/061501826826,W121082571 W1592803707,journal article
659,meta:br/062103282661,W121115974 W4292170082,journal article
9901,meta:br/06901782763,W121144038 W1500286626,journal article
17377,meta:br/06203304567,W121193342 W2402171866,journal article
2334,meta:br/062401201392,W1213040932 W3163254045,journal article
3112,meta:br/0610969086,W121368053 W2260041686,journal article
11773,meta:br/06130948418,W121424749 W3201434599,journal article
1263,meta:br/06220431237,W121431386 W4211174772,journal article
17484,meta:br/06203304610,W1215114392 W2433783210,journal article
8395,meta:br/06703465590,W1218380048 W3202240344,journal article
16930,meta:br/06201769406,W121943875 W2411635712,journal article
6497,meta:br/06501103133,W1219621966 W3151601396,journal article
8008,meta:br/06701334958,W122048475 W1537240334,journal article
13304,meta:br/061503179049,W122074300 W4299604404,book chapter
3470,meta:br/06250359306,W12216693 W2911606468,journal article
10995,meta:br/06120943688,W122523159 W3166124232,journal article
1190,meta:br/062202366565,W1227853221 W3196145094,journal article
8012,meta:br/06701334957,W122878151 W1531966283,journal article
15235,meta:br/061801054892,W1230659787 W2398287356,journal article
14075,meta:br/06160443617,W1232408448 W3138483040,journal article
15211,meta:br/06170833202,W1233626922 W3213818437,journal article
2321,meta:br/062401201320,W1235249713 W3207466821,journal article
17135,meta:br/06202229048,W1235435369 W4205663803,book
1081,meta:br/062202366506,W1235577574 W3193920219,journal article
7671,meta:br/06602860798,W1238702348 W3186150778,journal article
2632,meta:br/062402636878,W123896016 W3209410383,journal article
16910,meta:br/06201769099,W1239338475 W3155085443,journal article
12908,meta:br/061501827529,W1239446251 W3169041056,journal article
12523,meta:br/061403003951,W1243929290 W2401616681,journal article
1169,meta:br/062202366523,W1244986063 W3198236140,journal article
194,meta:br/06103202053,W1246630265 W282346848,journal article
12897,meta:br/061501827526,W1246848840 W2416851841,journal article
17458,meta:br/06203304279,W124714713 W3207374657,journal article
8339,meta:br/06702840204,W1247389001 W3176950220,journal article
14656,meta:br/06170442009,W1248643787 W268220912,journal article
17413,meta:br/06203304648,W124938058 W1591113997,journal article
14992,meta:br/06170585087,W124945131 W4231688353,journal article
9944,meta:br/06901782972,W1249968260 W1607583351,journal article
15176,meta:br/06170832948,W1250041306 W3194556155,journal article
1976,meta:br/062302643681,W125031000 W152953175,journal article
17304,meta:br/06202858804,W125103739 W2405787086 W2414080829 W2417476264 W2403034828 W47262818 W2419133933 W2415657262 W78232097 W57208077 W2419556021 W2417085353 W2429812346 W2441656466 W148443711 W45865008 W2413752205 W3...,journal article
16316,meta:br/061901690138,W125107088 W1599866717,journal article
15956,meta:br/06180445626,W1251780533 W222752804,journal article
8392,meta:br/06703465563,W1252409341 W2404722932,journal article
16343,meta:br/061901690598,W125417911 W1516947411,journal article
8932,meta:br/06801764918,W1254616016 W3208184130,journal article
1026,meta:br/062202063656,W125569217 W1480975104,book
14127,meta:br/06160444035,W125583124 W2133890447,journal article
15521,meta:br/061801688170,W125642111 W3209263514,journal article
2412,meta:br/062401797940,W1256729543 W1992179280,journal article
15527,meta:br/061801688246,W125943231 W3184273925,journal article
15135,meta:br/06170832319,W126402369 W3210054388,journal article
15191,meta:br/06170832427,W1264030816 W3209401633,journal article
5375,meta:br/06303732525,W12650155 W2024175584,journal article
15514,meta:br/061801688164,W1266778543 W2410620098,journal article
5368,meta:br/06303732838,W1267312964 W19213256,journal article
10000,meta:br/06901783265,W1267631813 W3159653447,journal article
5250,meta:br/06303308920,W1269026811 W1488165897,journal article
1180,meta:br/062202366568,W1269409731 W140161628,journal article
2794,meta:br/06240686419,W127023861 W2411245240,journal article
